noise_var,ratio
3,  0.451141
4,  0.605475
5,  0.75263
6,  0.822646
7,  0.748174
8,  0.696854
9,  0.694348
10,  0.68714
11,  0.674617
12,  0.653701
13,  0.616692
14,  0.541956
15,  0.421528
16,  0.414544
17,  0.403523
18,  0.450098
19,  0.537641
20,  0.603546
21,  0.644606
22,  0.669963
23,  0.686274
24,  0.697353
25,  0.705307
26,  0.711313
27,  0.716044
28,  0.719899
29,  0.723128
30,  0.725904
31,  0.728341
32,  0.730508
33,  0.732433
34,  0.734115
35,  0.735538
36,  0.736683
37,  0.737539
38,  0.738103
39,  0.738385
40,  0.738399
41,  0.738169
42,  0.737716
43,  0.737067
44,  0.736245
45,  0.735271
46,  0.734166
47,  0.732949
48,  0.731634
49,  0.730236
50,  0.728767
51,  0.727238
52,  0.725658
53,  0.724035
54,  0.722376
55,  0.720687
56,  0.718974
57,  0.717242
58,  0.715493
59,  0.713733
60,  0.711963
61,  0.710188
62,  0.708408
63,  0.706627
64,  0.704847
65,  0.703069
66,  0.701294
67,  0.699524
68,  0.69776
69,  0.696003
70,  0.694253
71,  0.692513
72,  0.690782
73,  0.68906
74,  0.68735
75,  0.68565
76,  0.683961
77,  0.682284
78,  0.680619
79,  0.678966
80,  0.677325
81,  0.675697
82,  0.674081
83,  0.672478
84,  0.670888
85,  0.66931
86,  0.667745
87,  0.666193
88,  0.664654
89,  0.663128
90,  0.661614
91,  0.660113
92,  0.658624
93,  0.657148
94,  0.655684
95,  0.654233
96,  0.652793
